Country,Year,Happiness index,GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Country code,Inflation rate,Adult education,Housing prices,Trust in government,Self-employment rate,Poverty rate,Unemployed youth rate,Households overcrowding,Internet access,Home access to computers,Unemployment benefits,Average wage,Health spending,Happy country
Iceland,2011,7.49807071685791,10.853975296020508,0.9802832007408142,73.0,0.9404851198196411,0.30074355006217957,0.638661801815033,0.8490208387374878,0.17950443923473358,ISL,-5.522176,26.582855,100.0,42.7228133576729,19.878318357723604,0.059,3.7208662,6.3838504254818,96.4134,96.7106,52.0,58376.5435915252,8.07,0
India,2011,4.046111106872559,8.730042457580566,0.606767475605011,59.70000076293945,0.8858504295349121,-0.04182809218764305,0.7808027863502502,0.6820909976959229,0.3179367780685425,IND,2.490887,71.298172,115.658,42.72276501723255,19.878318357723604,0.236,8.244254448766613,11.405780157246307,73.11678015923827,72.59778242320324,42.07643312101911,40640.148718197495,3.603,0
Ireland,2011,7.018379211425781,10.958863258361816,0.9677446484565735,71.9000015258789,0.9216295480728149,0.2636418342590332,0.40603625774383545,0.7843348383903503,0.22872304916381836,IRL,-1.454651,21.187292,89.72325,45.988237149778,24.01958,0.093,9.1234741,2.46830973774195,82.1681,83.5992,40.0,47141.7989549465,9.535,0
Ireland,2011,7.03493070602417,11.322803497314453,0.9603110551834106,72.5,0.8820982575416565,0.013816552236676216,0.3556327223777771,0.7966610193252563,0.24644726514816284,IRL,-5.009517,14.507091,134.847250004905,58.8148266866781,19.71695,0.08,6.1878796,1.82755161076784,91.8229,83.7578,40.0,49473.5528423192,7.194,0
Israel,2011,7.194928169250488,10.538053512573242,0.9590721726417542,73.69999694824219,0.831315815448761,-0.04937167465686798,0.7476390600204468,0.6213983297348022,0.2428257316350937,ISR,-7.882416,11.989373,116.261500000399,38.8938520677275,15.38308,0.222,8.9423742,11.405780157246307,75.9,79.5,23.0,39321.7103925356,7.461,0
Italy,2011,6.488356113433838,10.56257152557373,0.8898240327835083,74.0,0.7181554436683655,-0.14993725717067719,0.8440945744514465,0.6702133417129517,0.3110021650791168,ITA,-8.208165,37.138462,100.400000001851,37.4515772443029,26.74414,0.18,10.887393,18.9316064119339,88.1032,72.502,60.0,37769.0960760782,9.716,1
Japan,2011,5.908039093017578,10.631743431091309,0.8776509165763855,75.0999984741211,0.8064715266227722,-0.25461897253990173,0.6171878576278687,0.7428444027900696,0.19441038370132446,JPN,1.367719,52.67799,108.53875,41.1213650479192,11.33162,0.14,3.699199,1.64383556693792,67.1,69.1,35.0,39041.1371184532,11.037,0
Latvia,2011,5.069770336151123,10.115854263305664,0.834022581577301,65.37999725341797,0.6305075287818909,-0.07292285561561584,0.8365536332130432,0.6421023607254028,0.2274494171142578,LVA,-2.379014,10.645624,97.6224999999999,23.379966670998,11.55363,0.156,3.2130334,29.1428595781326,71.5978,71.7196,17.0,20444.0754138898,2.065,0
Lithuania,2011,5.7710371017456055,10.217618942260742,0.9186901450157166,64.9000015258789,0.5030271410942078,-0.2732120156288147,0.9569592475891113,0.5809710025787354,0.27738556265830994,LTU,6.659549,6.6762033,89.5575000000002,14.5729545679984,13.30203,0.184,3.9872205,11.7447279393673,60.1151,62.1365,31.0,20517.4685193106,1.996,1
Luxembourg,2011,6.701571464538574,11.616852760314941,0.9336045980453491,72.5999984741211,0.9322564005851746,0.052099939435720444,0.3753904700279236,0.7574445605278015,0.1930503398180008,LUX,-9.326459,25.391632,100.0,69.4678367168458,8.583423,0.137,9.3066521,7.05424919724464,96.7802,95.3357,84.0,66247.4582756739,5.284,1
Mexico,2011,6.679831027984619,9.847311973571777,0.7819649577140808,67.22000122070312,0.7791329026222229,-0.09429518133401871,0.6298511624336243,0.8016496300697327,0.22873041033744812,MEX,8.36129,64.907104,92.4655188362028,32.758204257445,31.85994,0.197,15.267422,33.2659661769867,34.39273866,38.29201478,42.07643312101911,16302.0111368586,5.553,0
Mexico,2011,6.549578666687012,9.903099060058594,0.8580688834190369,68.30000305175781,0.8162004947662354,-0.17916139960289001,0.8086380958557129,0.8817134499549866,0.21325436234474182,MEX,13.01203,60.853703,125.951435121412,29.4568493712817,31.50761,0.191,13.692604,33.1911206245422,52.8646296,44.88286427,42.07643312101911,16637.0923837669,5.379,0
Netherlands,2011,7.324437141418457,10.882254600524902,0.8790104389190674,72.0,0.9039787650108337,0.2614469826221466,0.411822110414505,0.8341336846351624,0.20212863385677338,NLD,-5.477798,23.600424,100.0,57.9621031534256,19.81905,0.1,3.5742121,3.48619185388088,95.966,96.2006,71.0,58402.5413039778,10.324,0
New Zealand,2011,7.280151844024658,10.571076393127441,0.958153486251831,72.36000061035156,0.9440004229545593,0.23699785768985748,0.3122358024120331,0.8349564075469971,0.15139691531658173,NZL,1.439583,28.640007,83.533791165522,54.350865570354,18.71115,0.128,7.6569176,1.35033201270955,80.0,78.0,35.0,40637.0606274242,9.36,1
Norway,2011,7.603433609008789,11.033207893371582,0.9468339681625366,72.9000015258789,0.9476205110549927,0.256901353597641,0.2988143563270569,0.8428875207901001,0.20940987765789032,NOR,-4.327315,17.628136,100.0,58.6871616601625,7.023855,0.073,2.8272896,6.07909150421619,96.6041,96.4735,67.0,55403.9267886579,10.131,0
Poland,2011,6.007021903991699,10.235350608825684,0.8930904269218445,68.0999984741211,0.7934621572494507,-0.09301692992448807,0.8100963234901428,0.7343825697898865,0.2404320389032364,POL,-4.133333,9.2220259,100.0,21.1427917322036,24.16483,0.135,5.1995797,33.2670390605926,75.7829,77.9378,36.0,25854.4755586001,6.395,1
Portugal,2011,5.157688140869141,10.311633110046387,0.8671808242797852,71.4000015258789,0.7880327701568604,-0.11844685673713684,0.9462573528289795,0.69966721534729,0.3478981554508209,PRT,-0.6623322,59.952484,93.0850000000001,17.9213397483661,26.16489,0.183,6.9257441,6.07500821352005,62.3417,66.6784,68.0,27405.6799140251,9.405,1
Russia,2011,5.388766288757324,10.128576278686523,0.8834168910980225,61.41999816894531,0.625847578048706,-0.27883076667785645,0.9351304173469543,0.6013476848602295,0.16523495316505432,RUS,10.86046,7.2196174,81.87275,47.9574510128749,7.91143,0.207,5.0555067,11.405780157246307,73.11678015923827,72.59778242320324,27.0,40640.148718197495,4.795,1
Slovakia,2011,5.9450483322143555,10.195558547973633,0.9172934293746948,67.04000091552734,0.7271631360054016,0.010068872012197971,0.9071323275566101,0.6365832090377808,0.28740957379341125,SVK,10.4691,8.7385187,95.3292616768456,27.8723899689139,15.15367,0.126,5.3315182,29.0748119354248,70.78,75.4321,14.0,19688.5859056811,7.348,0
Slovakia,2011,6.365509033203125,10.338751792907715,0.9133866429328918,68.5999984741211,0.7142246961593628,-0.054507993161678314,0.9204226732254028,0.7880204319953918,0.21272248029708862,SVK,-2.480406,8.6990681,112.990217524456,34.1680088348464,15.15367,0.118,6.5919886,26.4325648546219,81.3251,81.7991,12.0,22071.9063755831,6.771,0
Slovenia,2011,6.665273666381836,10.563304901123047,0.9494022727012634,71.4000015258789,0.9454305171966553,-0.10169173032045364,0.7854418158531189,0.6786946654319763,0.2278384566307068,SVN,1.195722,11.202892,129.69,39.7150714930083,17.00648,0.056,3.8141706,8.6800217628479,88.9611,79.503,50.0,40532.8461694317,8.524,0
South Africa,2011,4.513655185699463,9.449626922607422,0.870313286781311,56.099998474121094,0.7874279022216797,-0.12861840426921844,0.86478191614151,0.7848007082939148,0.26817524433135986,ZAF,6.485185,55.935062,110.063974840063,42.3274215882798,19.878318357723604,0.277,13.753593,11.405780157246307,73.11678015923827,72.59778242320324,42.07643312101911,40640.148718197495,8.113,0
South Korea,2011,5.80132532119751,10.545550346374512,0.7377541065216064,72.44000244140625,0.623193621635437,-0.04291640967130661,0.8340683579444885,0.6529488563537598,0.28280770778656006,KOR,-0.4091173,15.002967,97.2715713540321,28.4103521814528,28.37353,0.175,8.244254448766613,5.75216189026833,98.48694292,78.24889324,20.0,37104.7593271211,6.479,0
