Country name,Year,Life Ladder,Log GDP per capita,Social support,Freedom to make life choices,Perceptions of corruption,Inflation rate,Adult education,Housing prices,Trust in government,Self-employment rate,Poverty rate,Unemployed youth rate,Happy country
Switzerland,2015,7.572136878967285,11.099858283996582,0.9383337497711182,0.9278024435043335,0.20953351259231567,-10.55654,12.704829,100.0,78.7730009339302,16.4266,0.095,8.1204834,1
Turkey,2015,5.51446533203125,10.166447639465332,0.8512246012687683,0.6531967520713806,0.8060762286186218,-1.938833,63.007553,100.0,48.6084640531312,30.5569,0.253,18.677607,0
United Kingdom,2015,6.515445232391357,10.712478637695312,0.9359857439994812,0.8329260945320129,0.45613372325897217,-7.749077,20.38233,100.0,45.6811700107288,19.863,0.112,8.7103109,1
United States,2015,6.863946914672852,10.97739315032959,0.9035710692405701,0.8487534523010254,0.6975426077842712,-16.7041,10.457861,100.0,34.6936462814797,7.483832,0.199,8.9990396,1
Australia,2016,7.250080108642578,10.791088104248047,0.9423342347145081,0.9223157167434692,0.39854511618614197,-3.300958,20.067352,105.5,45.2731750058896,11.719,0.125,5.5231562,1
Austria,2016,7.04807186126709,10.890950202941895,0.9263185858726501,0.88851398229599,0.5236409902572632,-4.433333,15.471591,108.5325,43.2638218460391,15.09913,0.115,5.4698844,1
Belgium,2016,6.948936462402344,10.819169998168945,0.9289640784263611,0.865759015083313,0.4966591000556946,0.7330465,24.905834,102.6405,41.917750565944,18.44934,0.092,4.3335156,1
Brazil,2016,6.374817371368408,9.578201293945312,0.912455141544342,0.8065715432167053,0.7810927629470825,12.48641,49.444931,100.867489497251,26.4140257342422,36.14901,0.341,17.623426,1
Canada,2016,7.244845867156982,10.772802352905273,0.9243925213813782,0.9124239087104797,0.3850904405117035,-2.960691,9.3911886,109.947920163433,61.8195286361391,9.059078,0.142,6.2189054,1
Chile,2016,6.579056262969971,10.074141502380371,0.8413881659507751,0.6522897481918335,0.8581249713897705,1.766,35.133507,106.7245,20.3538864780734,25.63964,0.211,11.449327,1
Colombia,2016,6.233715057373047,9.570698738098145,0.8819003701210022,0.8349661231040955,0.8975538611412048,7.514293,47.523586,110.654,26.1251195178529,52.9572,0.149,17.925772,1
Czech Republic,2016,6.735627174377441,10.51819133758545,0.9305928945541382,0.850328266620636,0.9004307389259338,-2.557907,6.5732007,107.15,41.5120712288846,20.25012,0.085,2.0813158,1
Denmark,2016,7.5577826499938965,10.902544021606445,0.9544515013694763,0.9482305645942688,0.2098933756351471,-3.475677,19.726067,104.72651181628,46.7660707808524,11.57252,0.037,3.0148408,1
Estonia,2016,5.649675369262695,10.374149322509766,0.9377151131629944,0.8427706956863403,0.6390852928161621,-3.972602,11.10444,104.74448813878,33.9834292244028,19.863,0.098,4.2167153,0
Finland,2016,7.659843444824219,10.739903450012207,0.9539404511451721,0.9483721852302551,0.24965956807136536,-3.713519,12.091855,100.802,48.5727259093159,18.37508,0.033,4.1666665,1
France,2016,6.475208759307861,10.6899995803833,0.8849229216575623,0.7867804765701294,0.6226970553398132,-2.767709,21.89171,100.925,28.3978157607008,14.94217,0.115,7.2553821,1
Germany,2016,6.873763084411621,10.85765552520752,0.9060292840003967,0.8705150485038757,0.4459221363067627,-5.287573,13.523512,107.527268818172,55.2613565971883,12.83731,0.123,3.3506637,1
Greece,2016,5.302619457244873,10.261198997497559,0.8026058673858643,0.4816168546676636,0.8984708189964294,-0.5248629,28.349747,97.6230000000001,13.2486555093508,37.4388,0.176,8.1349669,0
Hungary,2016,5.448901653289795,10.248160362243652,0.8995115756988525,0.5539517402648926,0.9241858124732971,-3.764473,16.637701,113.3775,30.3772330086861,12.89855,0.079,5.0807853,0
Iceland,2016,7.510034561157227,10.904261589050293,0.9849400520324707,0.9516095519065857,0.7192995548248291,-2.876054,23.394308,109.766774416936,36.3518302386903,19.863,0.065,3.5002017,1
India,2016,4.179177284240723,8.672600746154785,0.6135293841362,0.8200687766075134,0.7647221088409424,4.941027,71.298172,106.68575,42.666,19.863,0.236,8.053,0
Ireland,2016,7.040731430053711,11.198687553405762,0.9581440091133118,0.8745891451835632,0.3985443115234375,-6.180678,18.31505,107.4845,57.4739774897754,22.78838,0.1,9.8417397,1
Israel,2016,7.159010887145996,10.555092811584473,0.8896607756614685,0.7722973227500916,0.8040565848350525,-6.295732,13.231215,107.4585,43.8133169146668,15.97377,0.232,7.5833278,1
